cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
amdry;fld_s30i403;;kg m-2;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;TOTAL COLUMN DRY MASS  RHO GRID;atmosphere_mass_per_unit_area
amwet;fld_s30i404;;kg m-2;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;TOTAL COLUMN WET MASS  RHO GRID;atmosphere_mass_per_unit_area
cl;fld_s00i265;level_to_height(obj,var[0],levs=(0,66));1;time model_theta_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_cldrad;AREA CLOUD FRACTION IN EACH LAYER;cloud_area_fraction_in_atmosphere_layer
clhigh;fld_s09i205;;1;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;HIGH CLOUD AMOUNT;high_type_cloud_area_fraction
cli;fld_s00i012;level_to_height(obj,var[0],levs=(0,66));kg kg-1;time model_theta_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_cldrad;QCF AFTER TIMESTEP;mass_fraction_of_cloud_ice_in_air
clivi;fld_s30i406;;kg m-2;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;TOTAL COLUMN QCF  RHO GRID;atmosphere_cloud_ice_content
clivol;fld_s00i268;level_to_height(obj,var[0],levs=(0,66));1;time model_theta_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_cldrad;ice_cloud_volume_fraction_in_atmosphere_layer;
cllow;fld_s09i203;;1;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;LOW CLOUD AMOUNT;low_type_cloud_area_fraction
clmed;fld_s09i204;;1;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;MEDIUM CLOUD AMOUNT;medium_type_cloud_area_fraction
clmxro;fld_s09i217;;1;time_0 lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2022;umnsa_slv_;cloud_area_fraction_assuming_maximum_random_overlap;cloud_area_fraction
clmxro;fld_s09i217;;1;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;;AUS2200_A1hr;AUS2200;float32;22048000;337;umnsa_slv_;cloud_area_fraction_assuming_maximum_random_overlap;cloud_area_fraction
clw;fld_s00i254;level_to_height(obj,var[0],levs=(0,66));kg kg-1;time model_theta_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_cldrad;QCL AFTER TIMESTEP;mass_fraction_of_cloud_liquid_water_in_air
clwvol;fld_s00i267;level_to_height(obj,var[0],levs=(0,66));1;time model_theta_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_cldrad;liquid_cloud_volume_fraction_in_atmosphere_layer;
cw;fld_s08i209;;kg m-2;time lat lon;longitude latitude time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;CANOPY WATER CONTENT;canopy_water_amount
