cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
abs550aer;fld_s02i240 fld_s02i241 fld_s02i242 fld_s02i243 fld_s02i585;optical_depth(obj,var,3);1;time pseudo_level_0 lat lon;longitude latitude time lambda550nm;mon;aerosol;area: time: mean;;MIP_AEmon;CM2;float32;663552;12;cw323a.pm;Ambient Aerosol Absorption Optical Thickness at 550nm;atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles
dryss;fld_s38i218 fld_s38i219;calc_depositions(obj,var);kg m-2 s-1;time model_theta_level_number lat lon;longitude latitude time;mon;aerosol;area: time: mean;;MIP_AEmon;CM2;float32;9400320;12;cw323a.pm;Dry Deposition Rate of Sea-Salt Aerosol;minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition
lwp;fld_s30i405;;kg m-2;time lat lon;longitude latitude time;mon;aerosol;area: time: mean;;MIP_AEmon;CM2;float32;110592;12;cw323a.pm;TOTAL COLUMN QCL  RHO GRID;atmosphere_cloud_liquid_water_content
mmrbc;fld_s34i105 fld_s34i109 fld_s34i115 fld_s34i120;level_to_height(obj,sum_vars(obj,var));kg kg-1;time model_theta_level_number lat lon;longitude latitude alevel time;mon;aerosol;area: time: mean;;MIP_AEmonLev;CM2;float32;9400320;12;cw323a.pm;Elemental Carbon Mass Mixing Ratio;mass_fraction_of_elemental_carbon_dry_aerosol_particles_in_air
mmrdust;fld_s00i431 fld_s00i432 fld_s00i433 fld_s00i434 fld_s00i435 fld_s00i436;level_to_height(obj,sum_vars(obj,var));kg kg-1;time model_theta_level_number lat lon;longitude latitude alevel time;mon;aerosol;area: time: mean;;MIP_AEmonLev;CM2;float32;9400320;12;cw323a.pm;Dust Aerosol Mass Mixing Ratio;mass_fraction_of_dust_dry_aerosol_particles_in_air
mmroa;fld_s34i106 fld_s34i110 fld_s34i116 fld_s34i121 fld_s34i126;level_to_height(obj,sum_vars(obj,var));kg kg-1;time model_theta_level_number lat lon;longitude latitude alevel time;mon;aerosol;area: time: mean;;MIP_AEmonLev;CM2;float32;9400320;12;cw323a.pm;Total Organic Aerosol Mass Mixing Ratio;mass_fraction_of_particulate_organic_matter_dry_aerosol_particles_in_air
mmrso4;fld_s34i102 fld_s34i104 fld_s34i108 fld_s34i114;level_to_height(obj,sum_vars(obj,var));kg kg-1;time model_theta_level_number lat lon;longitude latitude alevel time;mon;aerosol;area: time: mean;;MIP_AEmonLev;CM2;float32;9400320;12;cw323a.pm;Aerosol Sulfate Mass Mixing Ratio;mass_fraction_of_sulfate_dry_aerosol_particles_in_air
mmrss;fld_s34i111 fld_s34i117;level_to_height(obj,sum_vars(obj,var));kg kg-1;time model_theta_level_number lat lon;longitude latitude alevel time;mon;aerosol;area: time: mean;;MIP_AEmonLev;CM2;float32;9400320;12;cw323a.pm;Sea-Salt Aerosol Mass Mixing Ratio;mass_fraction_of_sea_salt_dry_aerosol_particles_in_air
od440aer;fld_s02i285 fld_s02i300 fld_s02i301 fld_s02i302 fld_s02i303;optical_depth(obj,var,2);1;time pseudo_level_0 lat lon;longitude latitude time;mon;aerosol;area: time: mean;;MIP_AEmon;CM2;float32;663552;12;cw323a.pm;Ambient Aerosol Optical Thickness at 440nm;atmosphere_optical_thickness_due_to_ambient_aerosol_particles
od550aer;fld_s02i285 fld_s02i300 fld_s02i301 fld_s02i302 fld_s02i303;optical_depth(obj,var,3);1;time pseudo_level_0 lat lon;longitude latitude time lambda550nm;mon;aerosol;area: time: mean;;MIP_AEmon;CM2;float32;663552;12;cw323a.pm;Ambient Aerosol Optical Thickness at 550nm;atmosphere_optical_thickness_due_to_ambient_aerosol_particles
od550lt1aer;fld_s02i300 fld_s02i301 fld_s02i303;optical_depth(obj,var,3);1;time pseudo_level_0 lat lon;longitude latitude time lambda550nm;mon;aerosol;area: time: mean;;MIP_AEmon;CM2;float32;663552;12;cw323a.pm;Ambient Fine Aerosol Optical Depth at 550nm;atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles
wetss;fld_s38i241 fld_s38i242 fld_s38i265 fld_s38i266;calc_depositions(obj,var);kg m-2 s-1;time model_theta_level_number lat lon;longitude latitude time;mon;aerosol;area: time: mean;;MIP_AEmon;CM2;float32;9400320;12;cw323a.pm;Wet Deposition Rate of Sea-Salt Aerosol;minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_wet_deposition
zg500;fld_s30i297;var[0].sel(pressure=500);m;time pressure lat lon;longitude latitude time p500;day;aerosol;area: time: mean;;MIP_AEday;CM2;float32;2101248;12;cw323a.pd;Geopotential Height at 500hPa;geopotential_height
ztp;fld_s30i453;;m;time lat lon;longitude latitude time;mon;aerosol;area: time: mean;;MIP_AEmon;CM2;float32;110592;12;cw323a.pm;Height at Tropopause Level;tropopause_altitude
