cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
amdry;fld_s30i403;;kg m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;TOTAL COLUMN DRY MASS  RHO GRID;atmosphere_mass_per_unit_area
amwet;fld_s30i404;;kg m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;TOTAL COLUMN WET MASS  RHO GRID;atmosphere_mass_per_unit_area
areacella;areacella;;m2;latitude longitude;longitude latitude;fx;atmos;area: sum;;MIP_APfx;CM2;float32;110592;1;cm2_areacella;t-cell grid area;cell_area
ci;fld_s05i269;;1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;deep convection indicator;
cl;fld_s02i261;level_to_height(var[0]);1;time model_theta_level_number lat lon;longitude latitude alevel time;mon;atmos;area: time: mean;;MIP_APmonLev;CM2;float32;9400320;12;cw323a.pm;TOTAL CLOUD AMOUNT ON LEVELS;cloud_area_fraction_in_atmosphere_layer
cli;fld_s02i309;level_to_height(var[0]);1;time model_theta_level_number lat lon;longitude latitude alevel time;mon;atmos;area: time: mean;;MIP_APmonLev;CM2;float32;9400320;12;cw323a.pm;GRIDBOX LSC Qcf IN RADIATION   KG/KG;mass_fraction_of_stratiform_cloud_ice_in_air
clivi;fld_s30i406;;kg m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;TOTAL COLUMN QCF  RHO GRID;atmosphere_cloud_ice_content
clt;fld_s02i204;;1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;TOTAL CLOUD AMOUNT IN LW RADIATION;cloud_area_fraction
clt;fld_s02i204;;1;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;TOTAL CLOUD AMOUNT IN LW RADIATION;cloud_area_fraction
clt;fld_s02i204;;1;time lat lon;longitude latitude time;day;atmos;area: time: mean;;MIP_APday;CM2;float32;110592;74772;cm000a.pd;TOTAL CLOUD AMOUNT IN LW RADIATION;cloud_area_fraction
clw;fld_s02i308;level_to_height(var[0]);1;time model_theta_level_number lat lon;longitude latitude alevel time;mon;atmos;area: time: mean;;MIP_APmonLev;CM2;float32;9400320;12;cw323a.pm;GRIDBOX LSC Qcl IN RADIATION   KG/KG;mass_fraction_of_stratiform_cloud_liquid_water_in_air
