cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
cw;fld_s08i209;;kg m-2;time lat lon;longitude latitude time;mon;land;area: time: mean;;CM2_mon;AM3;float32;110592;480;di787a.pm;CANOPY WATER CONTENT;canopy_water_amount
eow;fld_s03i232;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;;CM2_mon;AM3;float32;110592;480;di787a.pm;Evaporation flux from open sea;surface_water_evaporation_flux
evspsblveg;fld_s03i297;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;;MIP_LPmon;AM3;float32;110592;480;di787a.pm;Evaporation from canopy;water_evaporation_flux_from_canopy
gpp;fld_s03i261;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;down;MIP_LPmon;AM3;float32;110592;480;di787a.pm;GROSS PRIMARY PRODUCTIVITY KG C/M2/S;gross_primary_productivity_of_biomass_expressed_as_carbon
lmask;fld_s00i030;var[0].isel(time=0).astype(int);%;time lat lon;longitude latitude;mon;land;area: time: mean;;AUS2200_fx;AM3;float64;221184;480;di787a.pm;LAND MASK (No halo) (LAND=TRUE);land_binary_mask
mrfsofr;fld_s08i230;;1;time depth lat lon;longitude latitude sdepth time;mon;land;area: time: mean;;CM2_mon;AM3;float32;663552;480;di787a.pm;FROZEN SOIL MOISTURE FRACTION;mass_fraction_of_frozen_water_in_soil_moisture
mrlqso;fld_s08i229;;1;time depth lat lon;longitude latitude sdepth time;mon;land;area: time: mean;;AM3_Amon;AM3;float32;663552;480;di787a.pm;UNFROZEN SOIL MOISTURE FRACTION;mass_fraction_of_unfrozen_water_in_soil_moisture
mrrob;fld_s08i235;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;;AM3_Amon;AM3;float32;110592;480;di787a.pm;SUB-SURFACE RUNOFF RATE      KG/M2/S;subsurface_runoff_flux
mrros;fld_s08i234;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;;MIP_LPmon;AM3;float32;110592;480;di787a.pm;SURFACE RUNOFF RATE          KG/M2/S;surface_runoff_flux
mrso;fld_s08i223;var[0].sum(dim='depth');kg m-2;time depth lat lon;longitude latitude time;mon;land;area: time: mean;;MIP_LPmon;AM3;float32;663552;480;di787a.pm;SOIL MOISTURE CONTENT IN A LAYER;mass_content_of_water_in_soil_layer
mrsol;fld_s08i223;;kg m-2;time depth lat lon;longitude latitude sdepth time;mon;land;area: time: mean;;MIP_LPmon;AM3;float32;663552;480;di787a.pm;SOIL MOISTURE CONTENT IN A LAYER;mass_content_of_water_in_soil_layer
mrsos;fld_s08i223;calc_topsoil(var[0]);kg m-2;time depth lat lon;longitude latitude time sdepth1;mon;land;area: time: mean;;MIP_LPmon;AM3;float32;663552;480;di787a.pm;SOIL MOISTURE CONTENT IN A LAYER;mass_content_of_water_in_soil_layer
orog;fld_s00i033;var[0].isel(time=0);m;time lat lon;longitude latitude;fx;land;area: time: mean;;MIP_LPfx;AM3;float32;110592;480;di787a.pm;OROGRAPHY (/STRAT LOWER BC);surface_altitude
rh;fld_s03i293;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;up;MIP_LPmon;AM3;float32;110592;480;di787a.pm;SOIL RESPIRATION           KG C/M2/S;soil_respiration_carbon_flux
sbl;fld_s03i298;;kg m-2 s-1;time lat lon;longitude latitude time;mon;landIce;area: time: mean;;CMIP6_LImon;AM3;float32;110592;480;di787a.pm;SUBLIM. SURFACE (GBM) : RATE KG/M2/S;surface_snow_and_ice_sublimation_flux
snm;fld_s08i231;;kg m-2 s-1;time lat lon;longitude latitude time;mon;landIce land;area: time: mean;;MIP_LImon;AM3;float32;110592;480;di787a.pm;surface_snow_melt_flux_where_land;
snw;fld_s08i023;;kg m-2;time lat lon;longitude latitude time;mon;landIce land;area: time: mean;;MIP_LImon;AM3;float32;110592;480;di787a.pm;SNOW MASS AFTER HYDROLOGY      KG/M2;surface_snow_amount
treeFrac;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],[1,2,3,4],landfrac=var[1],lev='typetree');%;time pseudo_level_0 lat lon;longitude latitude time typetree;mon;land;area: time: mean;;MIP_LPmon;AM3;float32;1880064;480;di787a.pm;SURFACE TILE FRACTIONS;
tsl;fld_s08i225;;K;time depth lat lon;longitude latitude sdepth time;mon;land;area: time: mean;;MIP_LPmon;AM3;float32;663552;480;di787a.pm;DEEP SOIL TEMP. AFTER HYDROLOGY DEGK;soil_temperature
