cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
agesno;fld_s03i832 fld_s03i317;average_tile(var[0],tilefrac=var[1]);mon;time pseudo_level_1 lat lon;longitude latitude time;mon;landIce land;area: time: mean;;MIP_LImon;ESM1.5;float32;1880064;12;cw323a.pm;CABLE SNOW AGE ON TILES;age_of_surface_snow
baresoilFrac;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],14,landfrac=var[1],lev='typebare');1;time lat lon;longitude latitude time typebare;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;Bare Soil Percentage Area Coverage;area_fraction
c3PftFrac;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],[1,2,3,4,5,6,8,9,11],landfrac=var[1],lev='typec3pft');1;time pseudo_level_1 lat lon;longitude latitude time typec3pft;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;Percentage Cover by C3 Plant Functional Type;area_fraction
c4PftFrac;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],7,landfrac=var[1],lev='typec4pft');1;time pseudo_level_1 lat lon;longitude latitude time typec4pft;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;Percentage Cover by C4 Plant Functional Type;area_fraction
cropFracC3;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],9,landfrac=var[1],lev='typec3crop');1;time pseudo_level_1 lat lon;longitude latitude time typec3crop;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;Percentage Cover by C3 Crops;area_fraction
cropFrac;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],9,landfrac=var[1],lev='typecrop');1;time lat lon;longitude latitude time typecrop;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;Percentage Crop Cover;area_fraction
cw;fld_s08i209;;kg m-2;time lat lon;longitude latitude time;mon;land;area: time: mean;;CM2_mon;ESM1.5;float32;110592;12;cw323a.pm;CANOPY WATER CONTENT;canopy_water_amount
eow;fld_s03i232;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;;CM2_mon;ESM1.5;float32;110592;12;cw323a.pm;Evaporation flux from open sea;surface_water_evaporation_flux
evspsblsoi;fld_s03i296;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;up;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;Evaporation from soil surface;water_evaporation_flux_from_soil
evspsblveg;fld_s03i297;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;Evaporation from canopy;water_evaporation_flux_from_canopy
