cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
advectsweby;temp_sweby_advec;;W m-2;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;CM2_mon;CM2;float32;21600000;36;ocean_month.nc-;cp*rho*dzt*sweby advect tendency;
agessc;age_global;;yr;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;Age (global);sea_water_age_since_surface_contact
areacello;dummy;get_areacello();1;time st_ocean yt_ocean xt_ocean;longitude latitude;mon;ocean;area: sum;;MIP_OPfx;CM2;float32;21600000;708;ocean_month.nc-;t-cell thickness;cell_area
areacello;area_t;get_areacello(area_t=var[0]);m-2;yt_ocean xt_ocean;longitude latitude;mon;ocean;area: sum;;MIP_OPfx;CM2;float32;1440;17700;ocean_month.nc-;tracer cell area;cell_area
bigthetao;temp;;deg_C;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;Conservative temperature;sea_water_conservative_temperature
deptho;ht;;m;yt_ocean xt_ocean;longitude latitude;mon;ocean;area: time: point;;MIP_OPfx;CM2;float32;1440;17700;ocean_month.nc-;ocean depth on t-cells;sea_floor_depth_below_geoid
difvho;diff_cbt_t;;m2 s-1;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;CM2_mon;CM2;float32;21600000;708;ocean_month.nc-;total vert diff_cbt(temp) (w/o neutral included);ocean_vertical_heat_diffusivity
evs;evap;;kg m-2 -s;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;mass flux from evaporation/condensation (>0 enters ocean);water_evaporation_flux
ficeberg2d;ice_calving;;kg m-2 s-1;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;mass flux of land ice calving into ocean;water_flux_into_sea_water_from_icebergs
friver;runoff;;kg m-2 s-1;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;mass flux of liquid river runoff entering ocean;water_flux_into_sea_water_from_rivers
fsitherm;melt;;kg m-2 s-1;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;water flux transferred with sea ice form/melt (>0 enters ocean);water_flux_into_sea_water_due_to_sea_ice_thermodynamics
hfds;sfc_hflux_from_runoff sfc_hflux_coupler sfc_hflux_pme frazil_3d;sum_vars(var[:3])+ var[3].sum(dim='st_ocean');W m-2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;downward heat flux at water surface;surface_downward_heat_flux_in_sea_water
hfds;sfc_hflux_from_runoff sfc_hflux_coupler sfc_hflux_pme frazil_3d_int_z;sum_vars(var);W m-2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;downward heat flux at water surface;surface_downward_heat_flux_in_sea_water
hfevapds;sfc_hflux_from_water_evap;;W m-2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;heat flux from evap transfer of water across ocean surface;temperature_flux_due_to_evaporation_expressed_as_heat_flux_out_of_sea_water
hfibthermds2d;calving_melt_heat;;W m-2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;heat flux needed to melt calving ice (<0 cools ocean);heat_flux_into_sea_water_due_to_iceberg_thermodynamics
hflso;evap_heat;;W m-2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;latent heat flux into ocean (<0 cools ocean);surface_downward_latent_heat_flux
hfrainds;sfc_hflux_from_water_prec;;W m-2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;heat flux from precip transfer of water across ocean surface;temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water
hfrunoffds2d;sfc_hflux_from_runoff;;W m-2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;heat flux (relative to 0C) from liquid river runoff;temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water
hfsifrazil;frazil_3d;;W m-2;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;ocn frazil heat flux over time step;heat_flux_into_sea_water_due_to_freezing_of_frazil_ice
hfsifrazil2d;frazil_3d;var[0].sum(dim='st_ocean');W m-2;time st_ocean yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;21600000;708;ocean_month.nc-;vertical integral of ocn frazil heat flux over time step;heat_flux_into_sea_water_due_to_freezing_of_frazil_ice
hfsnthermds2d;fprec_melt_heat;;W m-2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;heat flux to melt frozen precip (<0 cools ocean);heat_flux_into_sea_water_due_to_snow_thermodynamics
hfsso;sens_heat;;W m-2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;sensible heat into ocean (<0 cools ocean);surface_downward_sensible_heat_flux
masscello;rho_dzt;;kg m-2;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;t-cell rho*thickness;sea_water_mass_per_unit_area
mlotst;mld;;m;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: mean where sea time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;mixed layer depth determined by density criteria;ocean_mixed_layer_thickness_defined_by_sigma_t
mlotst;mld;;m;time yt_ocean xt_ocean;longitude latitude time;day;ocean;area: mean where sea time: mean;;MIP_OPday;CM2;float32;432000;708;ocean_daily.nc-;mixed layer depth determined by density criteria;ocean_mixed_layer_thickness_defined_by_sigma_t
mlotstsq;mld_sq;;m2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;squared mixed layer depth determined by density criteria;square_of_ocean_mixed_layer_thickness_defined_by_sigma_t
msftbarot;psiu;;kg/s;time yt_ocean xu_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;36;ocean_month.nc-;quasi-barotropic strmfcn psiu (compatible with tx_trans);ocean_barotropic_mass_streamfunction
