cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
sos;sss;;0.001;time nj ni;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;1200;iceh_m.;sea surface salinity;
tos;sst;K_degC(var[0]);degC;time nj ni;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;1200;iceh_m.;sea surface temperature;
siconc;aice;;1;time nj ni;longitude latitude time typesi;day;seaIce;area: time: mean;;MIP_SIday;CM2;float32;432000;37200;iceh_d.;ice area  (aggregate);sea_ice_area_fraction
sivol;hi;;m;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;grid cell mean ice thickness;sea_ice_thickness
simass;hi hs;var[0]*917+var[1]*330;kg m-2;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;grid cell mean ice thickness;sea_ice_amount
simpconc;apond_ai aice;maskSeaIce(var[0],var[1]);1;time nj ni;longitude latitude time typemp;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;melt pond fraction of grid cell;area_fraction
sidivvel;sidivvel;;s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;CM2_mon;CM2;float32;432000;1200;iceh_m.;divergence of the sea ice velocity field (ice area weig;divergence_of_sea_ice_velocity
sidmasstranx;sidmasstranx;;kg s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;x component of snow and sea ice mass transport;sea_ice_x_transport
sidmasstrany;sidmasstrany;;kg s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;y component of snow and sea ice mass transport;sea_ice_y_transport
siage;siage;;s;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice age;age_of_sea_ice
sicompstren;sicompstren;;N m-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;compressive sea ice strength;compressive_strength_of_sea_ice
sidconcdyn;sidconcdyn;var[0]*100;s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice area change from dynamics;tendency_of_sea_ice_area_fraction_due_to_dynamics
sidconcth;sidconcth;var[0]*100;s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice area change from thermodynamics;tendency_of_sea_ice_area_fraction_due_to_thermodynamics
sidmassdyn;sidmassdyn;;kg m-2 s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice mass change from dynamics;tendency_of_sea_ice_amount_due_to_sea_ice_dynamics
sidmassth;sidmassth;;kg m-2 s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice mass change from thermodynamics;tendency_of_sea_ice_amount_due_to_sea_ice_thermodynamics
sidmasslat;sidmasslat;var[0]/-1800.;kg m-2 s-1;longitude latitude time;time nj ni;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice mass change from lateral ice melt;tendency_of_sea_ice_amount_due_to_lateral_melting
sidmassevapsubl;sidmassevapsubl;var[0]*-1;kg m-2 s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;up;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice mass change from evaporation and sublimation;water_evapotranspiration_flux
sidmassgrowthbot;sidmassgrowthbot;var[0]/1800;kg m-2 s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice mass change from bottom growth;tendency_of_sea_ice_amount_due_to_congelation_ice_accumulation
sidmassgrowthwat;sidmassgrowthwat;var[0]/1800;kg m-2 s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice mass change from frazil growth;tendency_of_sea_ice_amount_due_to_frazil_ice_accumulation_in_leads
sidmassmeltbot;sidmassmeltbot;var[0]/-1800;kg m-2 s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice mass change from bottom ice melt;tendency_of_sea_ice_amount_due_to_basal_melting
sidmassmelttop;sidmassmelttop;var[0]/-1800;kg m-2 s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice mass change from top ice melt;tendency_of_sea_ice_amount_due_to_surface_melting
sidmasssi;sidmasssi;var[0]/1800;kg m-2 s-1;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice mass change from snow ice conversion;tendency_of_sea_ice_amount_due_to_conversion_of_snow_to_sea_ice
sifb;sifb;;m;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;sea ice freeboard;sea_ice_freeboard
siflcondbot;siflcondbot;;W m-2;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;down;MIP_SImon;CM2;float32;432000;1200;iceh_m.;conductive heat flux at bottom of sea ice;basal_downward_heat_flux_in_sea_ice
siflcondtop;siflcondtop;;W m-2;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;down;MIP_SImon;CM2;float32;432000;1200;iceh_m.;conductive heat flux at top of sea ice;surface_downward_sensible_heat_flux
siforcecoriolx;siforcecoriolx;;N m-2;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;x component of Coriolis force;sea_ice_x_force_per_unit_area_due_to_coriolis_effect
siforcecorioly;siforcecorioly;;N m-2;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;y component of Coriolis force;sea_ice_y_force_per_unit_area_due_to_coriolis_effect
siforceintstrx;siforceintstrx;;N m-2;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;x component of internal ice stress force;sea_ice_x_internal_stress
siforceintstry;siforceintstry;;N m-2;time nj ni;longitude latitude time;mon;seaIce;area: time: mean;;MIP_SImon;CM2;float32;432000;1200;iceh_m.;y component of internal ice stress force;sea_ice_y_internal_stress
sifllatstop;fld_s03i234 fld_s00i031;maskSeaIce(var[0],var[1]);W m-2;time lat lon;longitude latitude time;mon;seaIce;area: time: mean;up;MIP_SImon;CM2;float32;110592;12;cw323a.pm;latent heat flux over sea ice;surface_upward_latent_heat_flux
sifllwdtop;fld_s02i501 fld_s00i031;var[0]/var[1];W m-2;time lat lon;longitude latitude time;mon;seaIce;area: time: mean;down;MIP_SImon;CM2;float32;110592;12;cw323a.pm;down longwave flux over sea ice;surface_downwelling_longwave_flux_in_air
sifllwutop;fld_s03i531 fld_s00i031;var[0]/var[1];W m-2;time lat lon;longitude latitude time;mon;seaIce;area: time: mean;down;MIP_SImon;CM2;float32;110592;12;cw323a.pm;upward longwave flux over sea ice;surface_upwelling_longwave_flux_in_air
